timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682779502758,3349,POST prestador,201,Created,Métodos POST 2-8,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3346,0,236
1682779502754,3353,GET especialidade,200,OK,Métodos GET 1-4,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3350,0,239
1682779502754,3353,GET especialidade,200,OK,Métodos GET 1-5,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3350,0,240
1682779502838,3284,POST prestador,201,Created,Métodos POST 2-12,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3284,0,158
1682779502754,3377,GET especialidade,200,OK,Métodos GET 1-1,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3377,0,242
1682779502753,3378,GET especialidade,200,OK,Métodos GET 1-6,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3378,0,240
1682779502753,3378,POST prestador,201,Created,Métodos POST 2-6,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3378,0,244
1682779502753,3378,POST prestador,201,Created,Métodos POST 2-4,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3378,0,244
1682779502759,3372,GET especialidade,200,OK,Métodos GET 1-18,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3372,0,234
1682779502754,3377,GET especialidade,200,OK,Métodos GET 1-15,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3377,0,240
1682779502754,3377,GET especialidade,200,OK,Métodos GET 1-9,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3377,0,239
1682779502754,3377,GET especialidade,200,OK,Métodos GET 1-8,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3377,0,243
1682779502819,3313,POST prestador,201,Created,Métodos POST 2-11,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3313,0,178
1682779502753,3379,POST prestador,201,Created,Métodos POST 2-2,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3379,0,244
1682779502808,3324,GET especialidade,200,OK,Métodos GET 1-23,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3324,0,189
1682779502753,3379,GET especialidade,200,OK,Métodos GET 1-16,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3379,0,241
1682779502754,3378,POST prestador,201,Created,Métodos POST 2-3,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3378,0,240
1682779502754,3531,POST prestador,201,Created,Métodos POST 2-1,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3531,0,239
1682779502937,3348,POST prestador,201,Created,Métodos POST 2-17,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3348,0,154
1682779502753,3533,POST prestador,201,Created,Métodos POST 2-7,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3533,0,240
1682779503070,3216,GET especialidade,200,OK,Métodos GET 1-49,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3216,0,153
1682779502957,3329,GET especialidade,200,OK,Métodos GET 1-38,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3329,0,154
1682779502917,3369,POST prestador,201,Created,Métodos POST 2-16,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3369,0,156
1682779502800,3486,GET especialidade,200,OK,Métodos GET 1-22,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3486,0,197
1682779502908,3379,GET especialidade,200,OK,Métodos GET 1-33,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3379,0,156
1682779502829,3458,GET especialidade,200,OK,Métodos GET 1-25,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3302,0,167
1682779502848,3439,GET especialidade,200,OK,Métodos GET 1-27,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3439,0,155
1682779502879,3408,POST prestador,201,Created,Métodos POST 2-14,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3408,0,153
1682779502898,3389,POST prestador,201,Created,Métodos POST 2-15,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3389,0,154
1682779502753,3534,GET especialidade,200,OK,Métodos GET 1-11,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3534,0,244
1682779503078,3209,GET especialidade,200,OK,Métodos GET 1-50,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3209,0,156
1682779502753,3534,GET especialidade,200,OK,Métodos GET 1-2,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3534,0,244
1682779502754,3533,GET especialidade,200,OK,Métodos GET 1-12,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3533,0,239
1682779502997,3290,GET especialidade,200,OK,Métodos GET 1-42,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3290,0,155
1682779503058,3229,POST prestador,201,Created,Métodos POST 2-23,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3229,0,155
1682779502878,3409,GET especialidade,200,OK,Métodos GET 1-30,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3409,0,154
1682779503027,3260,GET especialidade,200,OK,Métodos GET 1-45,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3260,0,154
1682779502978,3310,GET especialidade,200,OK,Métodos GET 1-40,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3310,0,155
1682779502788,3500,GET especialidade,200,OK,Métodos GET 1-21,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3500,0,206
1682779502778,3510,GET especialidade,200,OK,Métodos GET 1-20,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3510,0,219
1682779502753,3535,POST prestador,201,Created,Métodos POST 2-5,text,true,,1105,625,50,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/prestador,3535,0,241
1682779502817,3471,GET especialidade,200,OK,Métodos GET 1-24,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3471,0,180
1682779503009,3279,GET especialidade,200,OK,Métodos GET 1-43,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3279,0,155
1682779502937,3352,GET especialidade,200,OK,Métodos GET 1-36,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3352,0,156
1682779502754,3535,GET especialidade,200,OK,Métodos GET 1-14,text,true,,822,155,100,150,http://gisa-apim.eastus.cloudapp.azure.com:9080/especialidade,3535,0,239
